Cluster,Names
0,"['cpp-ethash', 'dapp-bin', 'deposit_contract', 'economic-modeling', 'ethdev-site', 'ethendance', 'go-casper', 'grants-advisors', 'homestead-guide', 'kzg-ceremony-sequencer', 'mining', 'news', 'plasma', 'profiling', 'pyethapp', 'pyeth_keys', 'remix-theia', 'remix-website', 'scavenger_hunt', 'solidity-fuzzing-corpus', 'solidity.js', 'testng', 'trinity-web']"
1,"['casper', 'common', 'cpp-build-env', 'cpp-dependencies-win64', 'cryptopp', 'devops-test-prater-redirect', 'docker-pyeth-dev', 'emacs-solidity', 'eth-typeshed', 'eth-wiki-test', 'eth2.0-onboarding', 'ethereum-dockers', 'ethereum-ppa', 'fuzzertests', 'gav', 'genesis_block_generator', 'hunter-cache', 'libwhisper', 'populus', 'portal-spec-tests', 'pos-evolution', 'pydevp2p', 'py_pairing', 'remix-tests', 'solidity-buildpack-deps', 'solidity-test-bytecode', 'vim-solidity']"
2,"['aleth', 'alethzero', 'awesome-remix', 'discv4-crawl', 'ens-registrar-dapp', 'eth-net-intelligence-api', 'eth-netstats', 'eth2-client-tests', 'ethereum-binaries', 'ethereum-buildbot', 'ethereum-client-binaries', 'ethereum-docs', 'ethereum-foundation-website', 'ethereum-org', 'ethereum-org-fork', 'ethereum-org-website', 'ethereum-react-components', 'fellowship-program-website', 'foundation-archived', 'fv-blog', 'GitSync', 'glados', 'go-ethereum', 'grid', 'grid-ui', 'guide', 'hive', 'homebrew-ethereum', 'jenkins-docker', 'local-testnet', 'mantis-apache2', 'meteor-dapp-catalog', 'meteor-dapp-wallet', 'meteor-dapp-whisper-chat-client', 'meteor-ethereum-networkinfo', 'meteor-package-accounts', 'mist', 'mix', 'moon-browser', 'node-crawler', 'oyente', 'portal-blog', 'remix', 'remix-desktop', 'remix-ide', 'remix-live-beta', 'remix-plugin', 'remix-plugins-directory', 'remix-project', 'remix-vscode', 'remix-workshops', 'remixd', 'secure-drop', 'solc-bin', 'solidity-website', 'staking-launchpad', 'swarm-dapps', 'system-testing', 'testeth', 'trin', 'tryethereum', 'webthree-umbrella', 'www', 'yellowpaper']"
3,"['abm1559', 'act', 'annotated-spec', 'beacon-APIs', 'beaconrunner', 'bls12-381-tests', 'btcrelay', 'builder-specs', 'c-kzg-4844', 'clrfund', 'consensus-spec-tests', 'consensus-specs', 'cryptography-research-website', 'devp2p', 'distributed-validator-specs', 'EIPs', 'eipv', 'eip_validator', 'ens-namehash-py', 'ERCs', 'esp-website', 'eth-keyfile', 'eth-keys', 'eth-tester', 'eth2.0-pm', 'eth2.0-tests', 'ethereum-console', 'ethereumj', 'evmc', 'evmcodegen', 'evmdasm', 'evmone', 'execution-apis', 'execution-spec-tests', 'execution-specs', 'fe', 'hevm', 'hexbytes', 'js-ethereum-cryptography', 'keymanager-APIs', 'kzg-ceremony', 'kzg-ceremony-specs', 'lahja', 'libsnark', 'pm', 'portal-accumulators', 'portal-network-specs', 'public-attacknets', 'public-disclosures', 'py-evm', 'pyethsaletool', 'py_ecc', 'rayonism', 'remote-signing-api', 'rig', 'solidity', 'solidity-examples', 'sourcify', 'statesweep', 'tests', 'UniversalLoginSDK', 'yul-isabelle']"
4,"['beacon-metrics', 'beacon_chain', 'bench', 'benchmarking', 'browser-solidity', 'cpp-dependencies', 'cpp-ethereum-cmake', 'devcommon', 'diary', 'discv4-dns-lists', 'ecp', 'eip-review-bot', 'eth-wiki', 'ethash', 'ethereum.org', 'ethsim', 'frontier-guide', 'geth-website', 'gethkey', 'go-verkle', 'interfaces', 'js-team-organization', 'langlab', 'legacytests', 'libethereum', 'libweb3core', 'node-ethereum', 'play', 'portal-hive', 'portal-website', 'pyethereum', 'remix-live', 'remix-live-alpha', 'requests-for-proposals', 'research', 'RIPs', 'ropsten', 'serpent-go', 'sharding', 'simplecasper', 'snake-charmers-blog', 'snake-charmers-tactical-manual', 'solidity-blog', 'solidity-portal', 'solidity-summit', 'solidity-underhanded-contest', 'stake-voice', 'tlsnotary-old-website', 'trinity', 'trinity-eth2', 'verkle-dev-website', 'web3.py', 'webthree', 'webthree-helpers', 'whisper', 'wiki']"
5,"['aio-run-in-process', 'alexandria', 'async-service', 'asyncio-cancel-token', 'asyncio-run-in-process', 'bimini', 'blake2b-py', 'blockies', 'cable', 'cbc-casper', 'clef-ui', 'consensus-deployment-ansible', 'cthaeh', 'dapp-styles', 'ddht', 'dopple', 'EIP-Bot', 'eipw', 'eipw-action', 'eth-abi', 'eth-account', 'eth-bloom', 'eth-enr', 'eth-hash', 'eth-orm', 'eth-portal', 'eth-rlp', 'eth-typing', 'eth-utils', 'eth2.0-test-generators', 'ethbot', 'ethereum-org-next', 'ethereum-python-project-template', 'evmjit', 'evmlab', 'go-build', 'kzg-ceremony-verifier', 'leveldb', 'merge-testnet-verifier', 'meteor-package-blocks', 'meteor-package-elements', 'meteor-package-tools', 'moon-lang', 'moon-tool', 'natspec.js', 'nodemonitor', 'py-geth', 'py-hdwallet', 'py-snappy', 'py-solc', 'py-ssz', 'py-trie', 'py-wasm', 'pyrlp', 'pytest-asyncio-network-simulator', 'pytest-ethereum', 'retesteth', 'rpc-tests', 'serpent', 'solc-js', 'ssv', 'staking-deposit-cli', 'test-tools', 'trio-run-in-process', 'twig', 'upnp-port-forward', 'utp', 'Yul-K']"
